Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P068_D0	0.12366329889843979	0.32410143983684064	0.02225488843158527	0.16570584285367637	0.02086376214852733	0.0058249392730393024	0.011568988546960686	0.009677303887570276	0.002467908705680516	0	0.12950420388277548	0.049987898055302085	0.05903357179805491	0.011417575438637423	0	0	0	0	0.022245661642684076	0	0.039347670540829154	0.002335046059396656	0	0.4675247053537722	0.8901136219414649
P070_D0	0.47092352136600657	0	0.20076139566199921	0.005269040081096721	0.10659260917771712	0	0	0.03455001168126219	0	0	0.04137989267227076	0.008331517902596347	0.04443696364767398	0.045812521840162	0	0	0	0	0.008413763932344342	0	0.011509028794559239	0.022019733242311445	0	0.44211463094945685	0.9385839213030376
P071_D0	0.2000324513114553	0	0.08739094172711473	0.07589910940568509	0.005622427781053587	0	0.031928586353229725	0.020390024039828095	0	0.021086588921304435	0.10848605729716758	0	0.255717622111216	0.03391268289890893	0	0	0	0.0001	0.00830139770316832	0	0.039964399709982945	0.11113704404138917	0	0.3857702218546689	0.9274149535704307
P072_D0	0.3451848611330617	0.07032202658920884	0.039231934487957254	0.09182613827885623	0	0.11513334548760881	0	0.027204261442325635	0	0	0.03915422330003188	0.06540571504948249	0.07669163803876268	0.015691252738963775	0.0015972617752901743	0.011590776615311394	0	0	0.05230839260138232	0	0.04747262092000403	0.001185551541752853	0	0.36913791920634736	0.9472754709564551
P073_D0	0.4675149145027829	0	0.19552340696764584	0.03672176570592816	0	0.03768423448356892	0	0.048253198674398826	0	0	0.0426204625432177	0	0.06944521305143118	0.03098467536249701	0	0	0	0	0.00197557847361351	0	0.03261233415467824	0.036664216080237795	0	0.34963754807964464	1.0033440455851759
P075_D0	0.37679814881811863	0	0.16016250068955046	0.020105871168595454	0.08707126072642785	0	0	0	0.03607511975226342	0.0007	0.025251422226650316	0.0019594287357158477	0.10886517148062837	0.05246646912427645	0	0	0	0	0	0.02290205166387873	0.07936358028838733	0.028323790591042827	0	0.30966533979391103	0.994738415198683
P076_D0	0.5721168982689429	0	0.1844607397229771	0	0.0026248997055982565	0.11057486405993691	0	0.04272968375532789	0	0.009697282264611652	0	0.06513643906839318	0.004172314435977967	0	0.0007	0	0	0	0.0033418547983648634	0	0.00410768800327564	0.0003	0	0.35359603826057173	1.0377288923435293
P077_D0	0.32342919181365365	0	0.25368740695726016	0.12175371492151059	0	0.10734698040374828	0.005237440484497829	0.031033200961346763	0	0.010732426099647679	0.05937632030803515	0	0.045267442057563376	0.011142854691123973	0	0	0	0.001	0	0	0.013944095877675729	0.016054137698808535	0	0.34161703767943924	0.9968497977678714
P078_D0	0.07404549461337771	0.10949251439481404	0.1260582456939849	0.12986651712350153	0	0	0.027980541449110684	0.036659169564185294	0	0	0.16295772597301877	0.02131206585918901	0.16174142702762423	0.05560000488604694	0.0018956952727746525	0	0	0	0.057782485441477925	0	0.020204474250528404	0.01440363845036586	0	0.4101650199691112	0.9135566001889046
P080_D0	0.2955980567945943	0	0.04447098243656755	0.0383270175992358	0.25145919435715786	0.09620827491912086	0	0	0	0	0.04229008361791291	0.0724494978993005	0.043037490820132564	0.022167506619278302	0.0029551901281734383	0.032672352143344886	0	0	0.02677022302486911	0	0.031594129640312024	0	0.02	0.24771913991856012	1.0084951304779761
P081_D0	0.35952123000889646	0	0.2189478020086482	0.05128508983115131	0.04592312712853355	0.024732587755655466	0.028231567263097206	0.016034809669638973	0	0	0	0.11320798209615296	0.01716084181328219	0.030450767663098822	0	0	0	0	0.07684276715411545	0	0.0015518929915724505	0.016109534616156912	0	0.41120309192117577	0.9438471248987603
P082_D0	0.4295970913494597	0.03310413957798626	0.03495443392619371	0	0	0.07087629567438973	0.005330043277948229	0.02942659731508442	0	0	0.0449833206684496	0.03737919353345527	0.04986983402660411	0.0470353777154237	0	0.059231307498510875	0	0	0.06704181153969607	0	0.09021008668282159	0.001	0.02	0.24866937012286625	1.0174194978655975
P083_D0	0.2865152256430378	0	0.0914340353285726	0.06386184959808157	0.02697795643226751	0	0.03339605219385244	0.024807986589044484	0	0.006425480471759744	0.06998717917385482	0	0.13514782412377677	0.06953711815590737	0	0	0	0.01549131429087848	0.012567802491277135	0	0.09187223267334745	0.07197794283434193	0	0.3153371816633407	0.9644508815990457
P084_D0	0.26291647698688203	0.0793529389489156	0.11110970199854557	0.09193033946873264	0.0677364588774388	0.07617207324410263	0	0	0	0	0.14401910515696598	0	0.11492857588733713	0	0	0.01834959173920487	0	0	0	0.0038404152108126614	0.029644322481062108	0	0.02	0.2574758916714232	1.0120461997984211
P085_D0	0.3604395126279813	0	0.10264934848199826	0.0750498214271123	0.04854255972826711	0.0130971743237465	0.03658434192467566	0.0044493195191870425	0	0	0	0.0816608769503869	0.04938221196522674	0.02152605151251271	0	0.023926150037664747	0	0.01000564024145117	0.10699209432031881	0	0.05183216282342354	0.013862734116047224	0	0.36654264845161266	0.9467368478707853
P086_D0	0.47154114035018735	0	0.14089603200993037	0.046713016252183256	0	0.11748660330721801	0	0.012929047176415551	0	0	0.10320411773078574	0	0.05522028067588055	0.00856642548887852	0	0	0	0	0	0.01495769357438402	0.0209082445688079	0.0075773988653288354	0	0.5945556681029157	0.8075439507552038
P087_D0	0.5259792350660327	0	0.11980620313576955	0.0034876127839223886	0	0.18068989423821358	0.01319430891266817	0.016183328007737117	0	0	0.06812427518630265	0	0.014777174692963383	0.021178347307837027	0.0012821531226669112	0	0	0	0	0.034789292898168026	0	0.0005	0	0.35783825093489996	0.994415431144137
P088_D0	0.2456181450658674	0	0.29769692526143665	0.05181978196099774	0	0.2408616179112967	0	0.027090522186324774	0	0	0.07041197617541806	0	0.020252103461090038	0.016382062281170458	0.001625756779563466	0	0	0	0	0.021509086325579085	0.0067320225912556085	0	0	0.40106525367792245	0.9545197407273368
P089_D0	0.4343115667668667	0	0.06132545518631567	0	0	0	0.020624935666069728	0.0008	0	0	0.11546039028339987	0	0.09480593082219908	0.036105643432782976	0	0.11239098120398297	0	0	0	0.052960712425035916	0.05653590098574463	0.014713801581358517	0	0.3210223447600706	0.9771322799892749
P090_D0	0.42419647209271844	0.0073247855843842765	0.11138408925615469	0	0	0.16827952921429468	0	0.001783191728617915	0	0	0	0.11675921562680353	0.05653761542028817	0	0.004951589251599296	0.029477318007132092	0	0	0.0474710351455337	0	0.031835158672473274	0	0.01	0.2912496093722939	1.0108700110753186
